Label (Grouping),    2017-unadjusted,    2018-unajusted,    2019-unadjusted,2017-adjusted,2018-adjusted,2019-adjusted
"Fayette County, Kentucky!!Median income (dollars)!!Estimate","53,013","54,918","57,291","61,495.08","62,057.34","64,165.92"
"Census Tract 1.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","22,540","25,217","25,363","26,146.4","28,495.21","28,406.56"
"Census Tract 1.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","30,521","28,223","26,477","35,404.36","31,891.99","29,654.24"
"Census Tract 2, Fayette County, Kentucky!!Median income (dollars)!!Estimate","24,692","24,915","26,725","28,642.72","28,153.95","29,932"
"Census Tract 3, Fayette County, Kentucky!!Median income (dollars)!!Estimate","27,326","31,632","32,089","31,698.16","35,744.16","35,939.68"
"Census Tract 4, Fayette County, Kentucky!!Median income (dollars)!!Estimate","20,104","21,486","27,031","23,320.64","24,279.18","30,274.72"
"Census Tract 5, Fayette County, Kentucky!!Median income (dollars)!!Estimate","62,731","66,570","68,088","72,767.96","75,224.1","76,258.56"
"Census Tract 6, Fayette County, Kentucky!!Median income (dollars)!!Estimate","89,056","100,074","101,268","103,304.96","113,083.62","113,420.16"
"Census Tract 7, Fayette County, Kentucky!!Median income (dollars)!!Estimate","23,950","28,058","29,840","27,782","31,705.54","33,420.8"
"Census Tract 8.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","23,056","27,361","27,344","26,744.96","30,917.93","30,625.28"
"Census Tract 8.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","17,900","18,242","22,765","20,764","20,613.46","25,496.8"
"Census Tract 9, Fayette County, Kentucky!!Median income (dollars)!!Estimate","14,690","17,406","17,721","17,040.4","19,668.78","19,847.52"
"Census Tract 10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","33,934","37,554","39,125","39,363.44","42,436.02","43,820"
"Census Tract 11, Fayette County, Kentucky!!Median income (dollars)!!Estimate","26,776","28,693","30,968","31,060.16","32,423.09","34,684.16"
"Census Tract 13, Fayette County, Kentucky!!Median income (dollars)!!Estimate","24,375","26,250","36,125","28,275","29,662.5","40,460"
"Census Tract 14, Fayette County, Kentucky!!Median income (dollars)!!Estimate","25,281","24,714","27,604","29,325.96","27,926.82","30,916.48"
"Census Tract 15, Fayette County, Kentucky!!Median income (dollars)!!Estimate","32,865","37,375","40,708","38,123.4","42,233.75","45,592.96"
"Census Tract 16, Fayette County, Kentucky!!Median income (dollars)!!Estimate","34,526","36,558","35,893","40,050.16","41,310.54","40,200.16"
"Census Tract 17, Fayette County, Kentucky!!Median income (dollars)!!Estimate","60,194","63,488","67,938","69,825.04","71,741.44","76,090.56"
"Census Tract 18, Fayette County, Kentucky!!Median income (dollars)!!Estimate","22,571","21,932","20,387","26,182.36","24,783.16","22,833.44"
"Census Tract 19, Fayette County, Kentucky!!Median income (dollars)!!Estimate","22,219","22,262","25,868","25,774.04","25,156.06","28,972.16"
"Census Tract 20.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","26,385","27,370","30,807","30,606.6","30,928.1","34,503.84"
"Census Tract 20.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","53,237","52,674","55,197","61,754.92","59,521.62","61,820.64"
"Census Tract 22, Fayette County, Kentucky!!Median income (dollars)!!Estimate","49,583","61,705","57,500","57,516.28","69,726.65","64,400"
"Census Tract 23.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","60,922","59,659","64,005","70,669.52","67,414.67","71,685.6"
"Census Tract 23.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","69,648","59,934","62,935","80,791.68","67,725.42","70,487.2"
"Census Tract 23.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","163,542","166,563","176,635","189,708.72","188,216.19","197,831.2"
"Census Tract 24, Fayette County, Kentucky!!Median income (dollars)!!Estimate","64,361","74,375","67,404","74,658.76","84,043.75","75,492.48"
"Census Tract 25, Fayette County, Kentucky!!Median income (dollars)!!Estimate","41,653","47,137","49,760","48,317.48","53,264.81","55,731.2"
"Census Tract 26, Fayette County, Kentucky!!Median income (dollars)!!Estimate","44,295","50,098","50,032","51,382.2","56,610.74","56,035.84"
