Label (Grouping),2017-adjusted,2018-adjusted,2019-adjusted
"Fayette County, Kentucky!!Median income (dollars)!!Estimate","61,495.08","62,057.34","64,165.92"
"Census Tract 1.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","26,146.4","28,495.21","28,406.56"
"Census Tract 1.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","35,404.36","31,891.99","29,654.24"
"Census Tract 2, Fayette County, Kentucky!!Median income (dollars)!!Estimate","28,642.72","28,153.95","29,932"
"Census Tract 3, Fayette County, Kentucky!!Median income (dollars)!!Estimate","31,698.16","35,744.16","35,939.68"
"Census Tract 4, Fayette County, Kentucky!!Median income (dollars)!!Estimate","23,320.64","24,279.18","30,274.72"
"Census Tract 5, Fayette County, Kentucky!!Median income (dollars)!!Estimate","72,767.96","75,224.1","76,258.56"
"Census Tract 6, Fayette County, Kentucky!!Median income (dollars)!!Estimate","103,304.96","113,083.62","113,420.16"
"Census Tract 7, Fayette County, Kentucky!!Median income (dollars)!!Estimate","27,782","31,705.54","33,420.8"
"Census Tract 8.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","26,744.96","30,917.93","30,625.28"
"Census Tract 8.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","20,764","20,613.46","25,496.8"
"Census Tract 9, Fayette County, Kentucky!!Median income (dollars)!!Estimate","17,040.4","19,668.78","19,847.52"
"Census Tract 10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","39,363.44","42,436.02","43,820"
"Census Tract 11, Fayette County, Kentucky!!Median income (dollars)!!Estimate","31,060.16","32,423.09","34,684.16"
"Census Tract 13, Fayette County, Kentucky!!Median income (dollars)!!Estimate","28,275","29,662.5","40,460"
"Census Tract 14, Fayette County, Kentucky!!Median income (dollars)!!Estimate","29,325.96","27,926.82","30,916.48"
"Census Tract 15, Fayette County, Kentucky!!Median income (dollars)!!Estimate","38,123.4","42,233.75","45,592.96"
"Census Tract 16, Fayette County, Kentucky!!Median income (dollars)!!Estimate","40,050.16","41,310.54","40,200.16"
"Census Tract 17, Fayette County, Kentucky!!Median income (dollars)!!Estimate","69,825.04","71,741.44","76,090.56"
"Census Tract 18, Fayette County, Kentucky!!Median income (dollars)!!Estimate","26,182.36","24,783.16","22,833.44"
"Census Tract 19, Fayette County, Kentucky!!Median income (dollars)!!Estimate","25,774.04","25,156.06","28,972.16"
"Census Tract 20.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","30,606.6","30,928.1","34,503.84"
"Census Tract 20.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","61,754.92","59,521.62","61,820.64"
"Census Tract 22, Fayette County, Kentucky!!Median income (dollars)!!Estimate","57,516.28","69,726.65","64,400"
"Census Tract 23.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","70,669.52","67,414.67","71,685.6"
"Census Tract 23.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","80,791.68","67,725.42","70,487.2"
"Census Tract 23.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","189,708.72","188,216.19","197,831.2"
"Census Tract 24, Fayette County, Kentucky!!Median income (dollars)!!Estimate","74,658.76","84,043.75","75,492.48"
"Census Tract 25, Fayette County, Kentucky!!Median income (dollars)!!Estimate","48,317.48","53,264.81","55,731.2"
"Census Tract 26, Fayette County, Kentucky!!Median income (dollars)!!Estimate","51,382.2","56,610.74","56,035.84"
"Census Tract 27, Fayette County, Kentucky!!Median income (dollars)!!Estimate","50,957.64","58,868.48","68,950.56"
"Census Tract 28, Fayette County, Kentucky!!Median income (dollars)!!Estimate","81,614.12","86,617.89","85,176"
"Census Tract 29, Fayette County, Kentucky!!Median income (dollars)!!Estimate","66,551.52","68,146.91","71,574.72"
"Census Tract 30, Fayette County, Kentucky!!Median income (dollars)!!Estimate","46,673.76","42,710.61","41,652.8"
"Census Tract 31.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","39,226.56","40,639.32","44,367.68"
"Census Tract 31.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","53,099","54,368.82","57,820"
"Census Tract 32.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","57,330.68","56,217.5","59,500"
"Census Tract 32.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","41,086.04","42,355.79","46,452"
"Census Tract 33, Fayette County, Kentucky!!Median income (dollars)!!Estimate","58,698.32","56,583.62","52,062.08"
"Census Tract 34.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","42,988.44","45,609.06","48,067.04"
"Census Tract 34.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","32,521.76","37,137.45","37,679.04"
"Census Tract 34.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","64,983.2","64,510.57","62,387.36"
"Census Tract 34.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","66,007.48","62,808.79","63,095.2"
"Census Tract 34.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","70,001.36","72,131.29","64,193.92"
"Census Tract 35.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","44,375.8","43,745.69","47,569.76"
"Census Tract 35.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","44,627.52","44,594.32","42,525.28"
"Census Tract 35.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","38,658.16","38,406.44","41,133.12"
"Census Tract 36, Fayette County, Kentucky!!Median income (dollars)!!Estimate","101,386.32","99,973.36","102,372.48"
"Census Tract 37.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","103,364.12","103,112.5","105,000"
"Census Tract 37.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","69,945.68","74,364.17","77,296.8"
"Census Tract 37.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","89,071.76","91,693.85","106,799.84"
"Census Tract 37.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","95,555","92,580.9","88,323.2"
"Census Tract 38.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","60,064.8","75,942.78","75,277.44"
"Census Tract 38.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","72,182.16","71,877.04","84,245.28"
"Census Tract 38.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","36,304.52","46,335.65","48,356"
"Census Tract 39.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","106,623.72","109,925.27","115,311.84"
"Census Tract 39.08, Fayette County, Kentucky!!Median income (dollars)!!Estimate","100,972.2","92,783.17","97,331.36"
