Name,2017,2018,2019,2020,2021,2022
Census Tract 1.01,26146.4,28495.21,28406.56,23734.75,24275.09,24704
Census Tract 1.02,35404.36,31891.99,29654.24,29975,36630.38,52609
Census Tract 2,28642.72,28153.95,29932,38624.15,39473.37,40782
Census Tract 3,31698.16,35744.16,35939.68,39161.52,39753.71,54909
Census Tract 4,23320.64,24279.18,30274.72,30611.56,29733.16,27679
Census Tract 5,72767.96,75224.1,76258.56,70224.34,73870.66,73984
Census Tract 6,103304.96,113083.62,113420.16,80482.33,70179.16,65139
Census Tract 7,27782,31705.54,33420.8,59193.54,60053.75,56750
Census Tract 8.01,26744.96,30917.93,30625.28,29804.96,,
Census Tract 8.02,20764,20613.46,25496.8,25248.76,27401.63,26071
Census Tract 9,17040.4,19668.78,19847.52,19398.73,17634.67,19229
Census Tract 10,39363.44,42436.02,43820,54926.19,57820.66,54531
Census Tract 11,31060.16,32423.09,34684.16,36893.23,43171.29,34665
Census Tract 13,28275,29662.5,40460,41018.88,37258.47,43563
Census Tract 14,29325.96,27926.82,30916.48,38604.53,39370.65,58232
Census Tract 15,38123.4,42233.75,45592.96,44054.53,47252.27,48737
Census Tract 16,40050.16,41310.54,40200.16,45702.61,49365.52,47981
Census Tract 17,69825.04,71741.44,76090.56,60903.75,56051.95,55841
Census Tract 18,26182.36,24783.16,22833.44,21035.91,20366.38,21013
Census Tract 19,25774.04,25156.06,28972.16,31299.35,32408.16,32779
Census Tract 20.01,30606.6,30928.1,34503.84,38332.03,42408.38,45217
Census Tract 20.02,61754.92,59521.62,61820.64,59651.34,59781.97,65296
Census Tract 22,57516.28,69726.65,64400,56215.66,70887.5,78281
Census Tract 23.02,70669.52,67414.67,71685.6,69220.45,65141.6,65854
Census Tract 23.03,80791.68,67725.42,70487.2,63676.71,58546.12,52955
Census Tract 23.04,189708.72,188216.19,197831.2,199723.97,228425.74,209097
Census Tract 24,74658.76,84043.75,75492.48,61522.87,62689.16,63683
Census Tract 25,48317.48,53264.81,55731.2,55309.87,55740.58,56633
Census Tract 26,51382.2,56610.74,56035.84,60447.04,60686.12,60813
Census Tract 27,50957.64,58868.48,68950.56,53244.32,58136.31,54935
Census Tract 28,81614.12,86617.89,85176,79549.29,89495.87,89625
Census Tract 29,66551.52,68146.91,71574.72,75313.55,83364.77,83340
Census Tract 30,46673.76,42710.61,41652.8,52394.12,46704.43,58271
Census Tract 31.01,39226.56,40639.32,44367.68,43470.29,53093.4,70184
Census Tract 31.02,53099,54368.82,57820,70441.25,67945,65962
Census Tract 32.01,57330.68,56217.5,59500,68864.02,70620,72429
Census Tract 32.02,41086.04,42355.79,46452,50341.65,51279.75,54684
Census Tract 33,58698.32,56583.62,52062.08,35064.21,50323.17,55544
Census Tract 34.02,42988.44,45609.06,48067.04,55581.28,57466.49,57123
Census Tract 34.04,32521.76,37137.45,37679.04,41118.07,38664.45,31117
Census Tract 34.05,64983.2,64510.57,62387.36,52817.04,55914.99,58193
Census Tract 34.06,66007.48,62808.79,63095.2,60187.62,64179.67,64213
Census Tract 34.07,70001.36,72131.29,64193.92,68538.11,71573.37,67606
Census Tract 35.01,44375.8,43745.69,47569.76,54807.38,51384.61,49475
Census Tract 35.03,44627.52,44594.32,42525.28,45431.2,45568.09,39706
Census Tract 35.04,38658.16,38406.44,41133.12,42559.05,41508.51,44125
Census Tract 36,101386.32,99973.36,102372.48,99431.98,112717.01,114802
Census Tract 37.01,103364.12,103112.5,105000,132928.77,138629.2,143214
Census Tract 37.02,69945.68,74364.17,77296.8,82486.84,84795.36,85061
Census Tract 37.03,89071.76,91693.85,106799.84,83692.38,84625.23,86623
Census Tract 37.04,95555,92580.9,88323.2,93501.29,93799.41,94436
Census Tract 38.02,60064.8,75942.78,75277.44,75746.28,76989.71,77237
Census Tract 38.03,72182.16,71877.04,84245.28,83137.57,82797.67,82074
Census Tract 38.04,36304.52,46335.65,48356,46549.54,46754.72,48647
Census Tract 39.06,106623.72,109925.27,115311.84,116927.57,108508.7,113333
Census Tract 39.08,100972.2,92783.17,97331.36,96702.62,99613.79,95045
Census Tract 39.09,58149.64,69683.71,60200,63418.38,64143.29,67254
Census Tract 39.10,45571.76,49896.28,49128.8,48709.92,50323.17,55321
Census Tract 39.11,46837.32,45848.62,43627.36,42354.13,43067.5,46090
Census Tract 39.12,68317.04,56903.41,58720.48,70517.55,69844.25,77537
Census Tract 39.13,120569.24,121206.06,122628.8,127605.21,137795.67,140755
Census Tract 39.14,75705.08,87022.43,94267.04,75671.07,73116.31,72938
Census Tract 39.15,124299.8,138248.72,133000,126872.73,124702.08,126806
Census Tract 39.16,152250,148877.5,150500,149988.36,155372.56,167750
Census Tract 39.17,75846.6,68859.94,69611.36,75885.8,88731.89,84013
Census Tract 39.18,103608.88,98226.38,98174.72,98748.55,109526.27,84957
Census Tract 40.01,46686.52,44134.41,49143.36,46142.97,51634.99,54697
Census Tract 40.03,61638.92,67338.96,69942.88,59773.42,60715.01,52763
Census Tract 40.05,145290,140947.16,143640,136553.02,121815.22,122344
Census Tract 40.06,171928.24,218090,255500,228445.47,222754.74,216607
Census Tract 40.07,71997.72,99581.25,91000,99215.07,102668.64,105833
Census Tract 41.03,51948.28,56072.86,76300,60886.31,55475.22,56000
Census Tract 41.04,51507.48,47780.92,46200,50881.2,46620.97,44703
Census Tract 41.05,81991.12,82042.52,90311.2,103173.95,97882.53,100083
Census Tract 41.06,117156.52,116194.51,116335.52,108884.46,113451.03,112197
Census Tract 41.07,105223.6,106868.62,104650.56,132026.25,123823.61,127245
Census Tract 42.04,83239.28,70978.69,71496.32,67443.75,68898.37,68655
Census Tract 42.05,115925.76,112842.93,109099.2,105684.22,108623.19,123424
Census Tract 42.07,128708.96,143016.19,143133.76,143095.2,157038.55,140769
Census Tract 42.08,111521.24,111941.19,114775.36,115384.13,120074.33,122121
Census Tract 42.09,94560.88,90254.23,92850.24,87343.88,90269.48,89738
Census Tract 42.10,83578,84552.25,83742.4,73715.61,82074.35,86480
