CT,2020-unadjusted,2020-adjusted,  2021-unadjusted,2021-adjusted,2022-unadjusted
"Fayette County, Kentucky!!Median income (dollars)!!Estimate","58,954",,"61,526",,"66,087"
Census Tract 1.01,"21,775",,"22,687",,"24,704"
Census Tract 1.02,"27,500",,"34,234",,"52,609"
Census Tract 2,"35,435",,"36,891",,"40,782"
Census Tract 3,"35,928",,"37,153",,"54,909"
Census Tract 4,"28,084",,"27,788",,"27,679"
Census Tract 5,"64,426",,"69,038",,"73,984"
Census Tract 6,"73,837",,"65,588",,"65,139"
Census Tract 7,"54,306",,"56,125",,"56,750"
Census Tract 8.01,"27,344",,-,,-
Census Tract 8.02,"23,164",,"25,609",,"26,071"
Census Tract 9,"17,797",,"16,481",,"19,229"
Census Tract 10,"50,391",,"54,038",,"54,531"
Census Tract 11,"33,847",,"40,347",,"34,665"
Census Tract 13,"37,632",,"34,821",,"43,563"
Census Tract 14,"35,417",,"36,795",,"58,232"
Census Tract 15,"40,417",,"44,161",,"48,737"
Census Tract 16,"41,929",,"46,136",,"47,981"
Census Tract 17,"55,875",,"52,385",,"55,841"
Census Tract 18,"19,299",,"19,034",,"21,013"
Census Tract 19,"28,715",,"30,288",,"32,779"
Census Tract 20.01,"35,167",,"39,634",,"45,217"
Census Tract 20.02,"54,726",,"55,871",,"65,296"
Census Tract 22,"51,574",,"66,250",,"78,281"
Census Tract 23.02,"63,505",,"60,880",,"65,854"
Census Tract 23.03,"58,419",,"54,716",,"52,955"
Census Tract 23.04,"183,233",,"213,482",,"209,097"
Census Tract 24,"56,443",,"58,588",,"63,683"
Census Tract 25,"50,743",,"52,094",,"56,633"
Census Tract 26,"55,456",,"56,716",,"60,813"
Census Tract 27,"48,848",,"54,333",,"54,935"
Census Tract 28,"72,981",,"83,641",,"89,625"
Census Tract 29,"69,095",,"77,911",,"83,340"
Census Tract 30,"48,068",,"43,649",,"58,271"
Census Tract 31.01,"39,881",,"49,620",,"70,184"
Census Tract 31.02,"64,625",,"63,500",,"65,962"
Census Tract 32.01,"63,178",,"66,000",,"72,429"
Census Tract 32.02,"46,185",,"47,925",,"54,684"
Census Tract 33,"32,169",,"47,031",,"55,544"
Census Tract 34.02,"50,992",,"53,707",,"57,123"
Census Tract 34.04,"37,723",,"36,135",,"31,117"
Census Tract 34.05,"48,456",,"52,257",,"58,193"
Census Tract 34.06,"55,218",,"59,981",,"64,213"
Census Tract 34.07,"62,879",,"66,891",,"67,606"
Census Tract 35.01,"50,282",,"48,023",,"49,475"
Census Tract 35.03,"41,680",,"42,587",,"39,706"
Census Tract 35.04,"39,045",,"38,793",,"44,125"
Census Tract 36,"91,222",,"105,343",,"114,802"
Census Tract 37.01,"121,953",,"129,560",,"143,214"
Census Tract 37.02,"75,676",,"79,248",,"85,061"
Census Tract 37.03,"76,782",,"79,089",,"86,623"
Census Tract 37.04,"85,781",,"87,663",,"94,436"
Census Tract 38.02,"69,492",,"71,953",,"77,237"
Census Tract 38.03,"76,273",,"77,381",,"82,074"
Census Tract 38.04,"42,706",,"43,696",,"48,647"
Census Tract 39.06,"107,273",,"101,410",,"113,333"
Census Tract 39.08,"88,718",,"93,097",,"95,045"
Census Tract 39.09,"58,182",,"59,947",,"67,254"
Census Tract 39.10,"44,688",,"47,031",,"55,321"
Census Tract 39.11,"38,857",,"40,250",,"46,090"
Census Tract 39.12,"64,695",,"65,275",,"77,537"
Census Tract 39.13,"117,069",,"128,781",,"140,755"
Census Tract 39.14,"69,423",,"68,333",,"72,938"
Census Tract 39.15,"116,397",,"116,544",,"126,806"
Census Tract 39.16,"137,604",,"145,208",,"167,750"
Census Tract 39.17,"69,620",,"82,927",,"84,013"
Census Tract 39.18,"90,595",,"102,361",,"84,957"
Census Tract 40.01,"42,333",,"48,257",,"54,697"
Census Tract 40.03,"54,838",,"56,743",,"52,763"
Census Tract 40.05,"125,278",,"113,846",,"122,344"
Census Tract 40.06,"209,583",,"208,182",,"216,607"
Census Tract 40.07,"91,023",,"95,952",,"105,833"
Census Tract 41.03,"55,859",,"51,846",,"56,000"
Census Tract 41.04,"46,680",,"43,571",,"44,703"
Census Tract 41.05,"94,655",,"91,479",,"100,083"
Census Tract 41.06,"99,894",,"106,029",,"112,197"
Census Tract 41.07,"121,125",,"115,723",,"127,245"
Census Tract 42.04,"61,875",,"64,391",,"68,655"
Census Tract 42.05,"96,958",,"101,517",,"123,424"
Census Tract 42.07,"131,280",,"146,765",,"140,769"
Census Tract 42.08,"105,857",,"112,219",,"122,121"
Census Tract 42.09,"80,132",,"84,364",,"89,738"
Census Tract 42.10,"67,629",,"76,705",,"86,480"
