Label (Grouping),    Households
"Fayette County, Kentucky!!Median income (dollars)!!Estimate","61,526"
"Census Tract 1.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","22,687"
"Census Tract 1.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","34,234"
"Census Tract 2, Fayette County, Kentucky!!Median income (dollars)!!Estimate","36,891"
"Census Tract 3, Fayette County, Kentucky!!Median income (dollars)!!Estimate","37,153"
"Census Tract 4, Fayette County, Kentucky!!Median income (dollars)!!Estimate","27,788"
"Census Tract 5, Fayette County, Kentucky!!Median income (dollars)!!Estimate","69,038"
"Census Tract 6, Fayette County, Kentucky!!Median income (dollars)!!Estimate","65,588"
"Census Tract 7, Fayette County, Kentucky!!Median income (dollars)!!Estimate","56,125"
"Census Tract 8.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate",-
"Census Tract 8.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","25,609"
"Census Tract 9, Fayette County, Kentucky!!Median income (dollars)!!Estimate","16,481"
"Census Tract 10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","54,038"
"Census Tract 11, Fayette County, Kentucky!!Median income (dollars)!!Estimate","40,347"
"Census Tract 13, Fayette County, Kentucky!!Median income (dollars)!!Estimate","34,821"
"Census Tract 14, Fayette County, Kentucky!!Median income (dollars)!!Estimate","36,795"
"Census Tract 15, Fayette County, Kentucky!!Median income (dollars)!!Estimate","44,161"
"Census Tract 16, Fayette County, Kentucky!!Median income (dollars)!!Estimate","46,136"
"Census Tract 17, Fayette County, Kentucky!!Median income (dollars)!!Estimate","52,385"
"Census Tract 18, Fayette County, Kentucky!!Median income (dollars)!!Estimate","19,034"
"Census Tract 19, Fayette County, Kentucky!!Median income (dollars)!!Estimate","30,288"
"Census Tract 20.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","39,634"
"Census Tract 20.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","55,871"
"Census Tract 22, Fayette County, Kentucky!!Median income (dollars)!!Estimate","66,250"
"Census Tract 23.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","60,880"
"Census Tract 23.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","54,716"
"Census Tract 23.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","213,482"
"Census Tract 24, Fayette County, Kentucky!!Median income (dollars)!!Estimate","58,588"
"Census Tract 25, Fayette County, Kentucky!!Median income (dollars)!!Estimate","52,094"
"Census Tract 26, Fayette County, Kentucky!!Median income (dollars)!!Estimate","56,716"
"Census Tract 27, Fayette County, Kentucky!!Median income (dollars)!!Estimate","54,333"
"Census Tract 28, Fayette County, Kentucky!!Median income (dollars)!!Estimate","83,641"
"Census Tract 29, Fayette County, Kentucky!!Median income (dollars)!!Estimate","77,911"
"Census Tract 30, Fayette County, Kentucky!!Median income (dollars)!!Estimate","43,649"
"Census Tract 31.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","49,620"
"Census Tract 31.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","63,500"
"Census Tract 32.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","66,000"
"Census Tract 32.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","47,925"
"Census Tract 33, Fayette County, Kentucky!!Median income (dollars)!!Estimate","47,031"
"Census Tract 34.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","53,707"
"Census Tract 34.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","36,135"
"Census Tract 34.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","52,257"
"Census Tract 34.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","59,981"
"Census Tract 34.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","66,891"
"Census Tract 35.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","48,023"
"Census Tract 35.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","42,587"
"Census Tract 35.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","38,793"
"Census Tract 36, Fayette County, Kentucky!!Median income (dollars)!!Estimate","105,343"
"Census Tract 37.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","129,560"
"Census Tract 37.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","79,248"
"Census Tract 37.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","79,089"
"Census Tract 37.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","87,663"
"Census Tract 38.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","71,953"
"Census Tract 38.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","77,381"
"Census Tract 38.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","43,696"
"Census Tract 39.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","101,410"
"Census Tract 39.08, Fayette County, Kentucky!!Median income (dollars)!!Estimate","93,097"
"Census Tract 39.09, Fayette County, Kentucky!!Median income (dollars)!!Estimate","59,947"
"Census Tract 39.10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","47,031"
"Census Tract 39.11, Fayette County, Kentucky!!Median income (dollars)!!Estimate","40,250"
"Census Tract 39.12, Fayette County, Kentucky!!Median income (dollars)!!Estimate","65,275"
"Census Tract 39.13, Fayette County, Kentucky!!Median income (dollars)!!Estimate","128,781"
"Census Tract 39.14, Fayette County, Kentucky!!Median income (dollars)!!Estimate","68,333"
"Census Tract 39.15, Fayette County, Kentucky!!Median income (dollars)!!Estimate","116,544"
"Census Tract 39.16, Fayette County, Kentucky!!Median income (dollars)!!Estimate","145,208"
"Census Tract 39.17, Fayette County, Kentucky!!Median income (dollars)!!Estimate","82,927"
"Census Tract 39.18, Fayette County, Kentucky!!Median income (dollars)!!Estimate","102,361"
