Label (Grouping),HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,    Households
"Fayette County, Kentucky!!Number!!Estimate",,"136,104"
"Fayette County, Kentucky!!Percent Distribution!!Estimate",,"136,104"
"Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±845
"Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"66,087"
"Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±1,966"
Census Tract 1.01; Fayette County; Kentucky!!Number!!Estimate,,"2,172"
Census Tract 1.01; Fayette County; Kentucky!!Number!!Margin of Error,,±266
Census Tract 1.01; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"2,172"
Census Tract 1.01; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±266
Census Tract 1.01; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"24,704"
Census Tract 1.01; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±1,777"
Census Tract 1.02; Fayette County; Kentucky!!Number!!Estimate,,950
Census Tract 1.02; Fayette County; Kentucky!!Number!!Margin of Error,,±127
Census Tract 1.02; Fayette County; Kentucky!!Percent Distribution!!Estimate,,950
Census Tract 1.02; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±127
Census Tract 1.02; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"52,609"
Census Tract 1.02; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±33,221"
Census Tract 2; Fayette County; Kentucky!!Number!!Estimate,,"1,247"
Census Tract 2; Fayette County; Kentucky!!Number!!Margin of Error,,±211
Census Tract 2; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"1,247"
Census Tract 2; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±211
Census Tract 2; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"40,782"
Census Tract 2; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±5,273"
Census Tract 3; Fayette County; Kentucky!!Number!!Estimate,,"1,213"
Census Tract 3; Fayette County; Kentucky!!Number!!Margin of Error,,±165
Census Tract 3; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"1,213"
Census Tract 3; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±165
Census Tract 3; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"54,909"
Census Tract 3; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±14,499"
Census Tract 4; Fayette County; Kentucky!!Number!!Estimate,,678
Census Tract 4; Fayette County; Kentucky!!Number!!Margin of Error,,±59
Census Tract 4; Fayette County; Kentucky!!Percent Distribution!!Estimate,,678
Census Tract 4; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±59
Census Tract 4; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"27,679"
Census Tract 4; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±6,605"
Census Tract 5; Fayette County; Kentucky!!Number!!Estimate,,"1,459"
Census Tract 5; Fayette County; Kentucky!!Number!!Margin of Error,,±91
Census Tract 5; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"1,459"
Census Tract 5; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±91
Census Tract 5; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"73,984"
Census Tract 5; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±8,989"
Census Tract 6; Fayette County; Kentucky!!Number!!Estimate,,"2,531"
Census Tract 6; Fayette County; Kentucky!!Number!!Margin of Error,,±360
Census Tract 6; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"2,531"
Census Tract 6; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±360
Census Tract 6; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"65,139"
Census Tract 6; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±16,622"
Census Tract 7; Fayette County; Kentucky!!Number!!Estimate,,"1,211"
Census Tract 7; Fayette County; Kentucky!!Number!!Margin of Error,,±139
Census Tract 7; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"1,211"
Census Tract 7; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±139
Census Tract 7; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"56,750"
Census Tract 7; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±10,463"
Census Tract 8.01; Fayette County; Kentucky!!Number!!Estimate,,6
Census Tract 8.01; Fayette County; Kentucky!!Number!!Margin of Error,,±9
Census Tract 8.01; Fayette County; Kentucky!!Percent Distribution!!Estimate,,6
Census Tract 8.01; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±9
Census Tract 8.01; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,-
Census Tract 8.01; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,**
Census Tract 8.02; Fayette County; Kentucky!!Number!!Estimate,,854
Census Tract 8.02; Fayette County; Kentucky!!Number!!Margin of Error,,±139
Census Tract 8.02; Fayette County; Kentucky!!Percent Distribution!!Estimate,,854
Census Tract 8.02; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±139
Census Tract 8.02; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"26,071"
Census Tract 8.02; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±2,191"
Census Tract 9; Fayette County; Kentucky!!Number!!Estimate,,"2,769"
Census Tract 9; Fayette County; Kentucky!!Number!!Margin of Error,,±335
Census Tract 9; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"2,769"
Census Tract 9; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±335
Census Tract 9; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"19,229"
Census Tract 9; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±4,108"
Census Tract 10; Fayette County; Kentucky!!Number!!Estimate,,745
Census Tract 10; Fayette County; Kentucky!!Number!!Margin of Error,,±167
Census Tract 10; Fayette County; Kentucky!!Percent Distribution!!Estimate,,745
Census Tract 10; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±167
Census Tract 10; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"54,531"
Census Tract 10; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±24,124"
Census Tract 11; Fayette County; Kentucky!!Number!!Estimate,,"1,968"
Census Tract 11; Fayette County; Kentucky!!Number!!Margin of Error,,±203
Census Tract 11; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"1,968"
Census Tract 11; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±203
Census Tract 11; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"34,665"
Census Tract 11; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±11,695"
Census Tract 13; Fayette County; Kentucky!!Number!!Estimate,,815
Census Tract 13; Fayette County; Kentucky!!Number!!Margin of Error,,±128
Census Tract 13; Fayette County; Kentucky!!Percent Distribution!!Estimate,,815
Census Tract 13; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±128
Census Tract 13; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"43,563"
Census Tract 13; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±13,642"
Census Tract 14; Fayette County; Kentucky!!Number!!Estimate,,874
Census Tract 14; Fayette County; Kentucky!!Number!!Margin of Error,,±124
Census Tract 14; Fayette County; Kentucky!!Percent Distribution!!Estimate,,874
Census Tract 14; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±124
Census Tract 14; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"58,232"
Census Tract 14; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±10,199"
Census Tract 15; Fayette County; Kentucky!!Number!!Estimate,,845
Census Tract 15; Fayette County; Kentucky!!Number!!Margin of Error,,±125
Census Tract 15; Fayette County; Kentucky!!Percent Distribution!!Estimate,,845
Census Tract 15; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±125
Census Tract 15; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"48,737"
Census Tract 15; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±5,198"
Census Tract 16; Fayette County; Kentucky!!Number!!Estimate,,"1,079"
Census Tract 16; Fayette County; Kentucky!!Number!!Margin of Error,,±121
Census Tract 16; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"1,079"
Census Tract 16; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±121
Census Tract 16; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"47,981"
Census Tract 16; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±9,386"
Census Tract 17; Fayette County; Kentucky!!Number!!Estimate,,"1,163"
Census Tract 17; Fayette County; Kentucky!!Number!!Margin of Error,,±175
Census Tract 17; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"1,163"
Census Tract 17; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±175
Census Tract 17; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"55,841"
Census Tract 17; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±9,876"
Census Tract 18; Fayette County; Kentucky!!Number!!Estimate,,"1,439"
Census Tract 18; Fayette County; Kentucky!!Number!!Margin of Error,,±179
Census Tract 18; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"1,439"
Census Tract 18; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±179
Census Tract 18; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"21,013"
Census Tract 18; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±3,619"
Census Tract 19; Fayette County; Kentucky!!Number!!Estimate,,"2,047"
Census Tract 19; Fayette County; Kentucky!!Number!!Margin of Error,,±252
Census Tract 19; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"2,047"
Census Tract 19; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±252
Census Tract 19; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"32,779"
Census Tract 19; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±7,473"
Census Tract 20.01; Fayette County; Kentucky!!Number!!Estimate,,"2,699"
Census Tract 20.01; Fayette County; Kentucky!!Number!!Margin of Error,,±406
Census Tract 20.01; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"2,699"
Census Tract 20.01; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±406
Census Tract 20.01; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"45,217"
Census Tract 20.01; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±10,228"
Census Tract 20.02; Fayette County; Kentucky!!Number!!Estimate,,751
Census Tract 20.02; Fayette County; Kentucky!!Number!!Margin of Error,,±81
Census Tract 20.02; Fayette County; Kentucky!!Percent Distribution!!Estimate,,751
Census Tract 20.02; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±81
Census Tract 20.02; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"65,296"
Census Tract 20.02; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±10,033"
Census Tract 22; Fayette County; Kentucky!!Number!!Estimate,,839
Census Tract 22; Fayette County; Kentucky!!Number!!Margin of Error,,±102
Census Tract 22; Fayette County; Kentucky!!Percent Distribution!!Estimate,,839
Census Tract 22; Fayette County; Kentucky!!Percent Distribution!!Margin of Error,,±102
Census Tract 22; Fayette County; Kentucky!!Median income (dollars)!!Estimate,,"78,281"
Census Tract 22; Fayette County; Kentucky!!Median income (dollars)!!Margin of Error,,"±11,960"
Census Tract 23.02; Fayette County; Kentucky!!Number!!Estimate,,"2,578"
Census Tract 23.02; Fayette County; Kentucky!!Number!!Margin of Error,,±212
Census Tract 23.02; Fayette County; Kentucky!!Percent Distribution!!Estimate,,"2,578"
